"","gamma","mu_values","k_values","tau_squared_values","av_sigma_squared_true","I_squared","perc_HR.av","perc_LR.av","perc_REP.av","perc_sign.av","perc_HR_sign.av","perc_HR_nonsign.av","perc_LR_sign.av","perc_LR_nonsign.av","perc_REP_sign.av","perc_REP_nonsign.av","bias.unadj","cov.unadj","width.unadj","mse.unadj","bias.tau2.unadj.ML","bias.tau2.unadj.REML","bias.adj","cov.adj","width.adj","mse.adj","bias.tau2.adj.ML","bias.tau2.adj.REML"
"1",1.5,0,5,0.009,0.0399091349079786,0.184304538665168,0.32,0.08,0.6,0.04,0,0.32,0,0.08,0.04,0.56,0.046734670987174,1,0.585448922437616,0.0349075597878507,-0.00583637326024473,0.00200945161574234,0.0411027040320342,0.8,0.530912258908963,0.0338476725275096,-0.00721140829552314,-0.00179574761016944
"2",1.5,0.1,5,0.009,0.0399091349079786,0.184304538665168,0.16,0.12,0.72,0.16,0,0.16,0,0.12,0.16,0.56,0.0619116791970461,1,0.516621211050858,0.036864534420833,-0.00747148116478525,-0.000839182724328127,0.0559570218106009,0.8,0.484712225667786,0.0354523995355341,-0.0082329665559252,-0.00278951126923356
"3",1.5,0.2,5,0.009,0.0399091349079786,0.184304538665168,0.16,0.08,0.76,0.28,0,0.16,0,0.08,0.28,0.48,0.0833218488089064,1,0.485785235567794,0.0205946715811409,-0.00693194696814818,-0.00220105817887915,0.074022320074489,1,0.455405957649026,0.0190959833452388,-0.00747823939439687,-0.00402322438412569
"4",1.5,0.3,5,0.009,0.0399091349079786,0.184304538665168,0.16,0.08,0.76,0.52,0,0.16,0,0.08,0.52,0.24,0.0833202713867194,1,0.485772718671705,0.0205959065787009,-0.00693320344332833,-0.00220105817925807,0.0654300739096243,1,0.457272094158659,0.0180970914342202,-0.00708866909087872,-0.00352202019558148
"5",1.5,0.4,5,0.009,0.0399091349079786,0.184304538665168,0.08,0.08,0.84,0.64,0,0.08,0.04,0.04,0.6,0.24,0.0692577890696128,1,0.452756488118699,0.0189641916626492,-0.00841268888609411,-0.00496014889536432,0.049525485260143,1,0.44195953656554,0.0166867569333731,-0.00841268888609411,-0.0053343444988263
"6",1.5,0.5,5,0.009,0.0399091349079786,0.184304538665168,0.04,0.04,0.92,0.84,0,0.04,0.04,0,0.8,0.12,0.0464822521444765,1,0.421304175269807,0.0149136536545524,-0.00841417465279049,-0.004960148895377,0.0381763483286049,1,0.414977526586574,0.017174388908694,-0.00841417465279049,-0.00438949062634316
"7",1.5,0,15,0.009,0.0400098348084411,0.183732734051949,0.493333333333333,0.213333333333333,0.293333333333333,0.0533333333333333,0,0.493333333333333,0.04,0.173333333333333,0.0133333333333333,0.28,0.00591644998517428,0.8,0.562864617160923,0.0180049453882718,0.00820188440884456,0.0219105950360747,-0.0065607051003721,0.8,0.455727197182632,0.0210513209382468,0.00363806042208706,0.00734940868794703
"8",1.5,0.1,15,0.009,0.0400098348084411,0.183732734051949,0.413333333333333,0.16,0.426666666666667,0.173333333333333,0,0.413333333333333,0.0666666666666667,0.0933333333333333,0.106666666666667,0.32,0.0918848136629448,0.8,0.431352636844676,0.0161169682044663,-0.0046206594091691,0.00202266320159192,0.0682482142325497,0.8,0.360540069257385,0.0126245310804791,-0.00739123894536021,-0.00573442269003367
"9",1.5,0.2,15,0.009,0.0400098348084411,0.183732734051949,0.32,0.16,0.52,0.333333333333333,0,0.32,0.133333333333333,0.0266666666666667,0.2,0.32,0.0905219929511988,0.8,0.332482064301778,0.0117336406795581,-0.009,-0.00899999465057558,0.0569815217411133,1,0.315399574957687,0.00513080859315797,-0.009,-0.00899999465057558
"10",1.5,0.3,15,0.009,0.0400098348084411,0.183732734051949,0.226666666666667,0.173333333333333,0.6,0.506666666666667,0,0.226666666666667,0.106666666666667,0.0666666666666667,0.4,0.2,0.069844300647509,0.8,0.282027427913203,0.00717196559685794,-0.00854152947597278,-0.00706856733349506,0.0328529348182932,1,0.259619376156636,0.00283967983998002,-0.009,-0.00792222326621423
"11",1.5,0.4,15,0.009,0.0400098348084411,0.183732734051949,0.08,0.04,0.88,0.586666666666667,0,0.08,0.0133333333333333,0.0266666666666667,0.573333333333333,0.306666666666667,0.0412899848724972,0.8,0.222177000211675,0.00417288298126531,-0.00897215884410487,-0.00770291010912984,0.0237180167481404,1,0.216746353398698,0.00213794093811384,-0.00868287496739418,-0.00733968458728154
"12",1.5,0.5,15,0.009,0.0400098348084411,0.183732734051949,0.0666666666666667,0.04,0.893333333333333,0.76,0,0.0666666666666667,0.0266666666666667,0.0133333333333333,0.733333333333333,0.16,0.0357575516983066,0.8,0.224305272974457,0.00362068166880864,-0.008767086961464,-0.00672852019578997,0.0149356180157886,1,0.223270076652271,0.0014982832328269,-0.00695420618040314,-0.0044869406119782
"13",1.5,0,30,0.009,0.0400574233286835,0.183638974459965,0.626666666666667,0.22,0.153333333333333,0.0666666666666667,0,0.626666666666667,0.0466666666666667,0.173333333333333,0.02,0.133333333333333,0.147721394431665,0.6,0.458602033266075,0.0291972895989028,-0.00888200870347282,-0.0042861851229379,0.11717247178759,1,0.406479311519227,0.018530803559378,-0.009,-0.00899999465057558
"14",1.5,0.1,30,0.009,0.0400574233286835,0.183638974459965,0.466666666666667,0.22,0.313333333333333,0.18,0,0.466666666666667,0.08,0.14,0.1,0.213333333333333,0.126260508240473,0.4,0.285713057043239,0.0178942450840339,-0.009,-0.00843849956323021,0.0963204870127141,0.8,0.279534593585403,0.0110962444783651,-0.009,-0.00899999465057558
